#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile,Seat_Registered,Seat_Polled,Female_Voters,Male_Voters,Youth_Voters,Senior_Voters,youth_pct,services_pct,agri_pct,homemaker_pct,elderly_pct,Cultivators_Pct,AgriLabour_Pct,HouseholdIndustry_Pct,OtherWorkers_Pct,Literacy_Pct,Urban_Pct,Seat_Type,SC_Boost,Turnout_Surge_Type,TVK_Zone,Anti_Incumbency_Score,Incumbency_Factor,Voter_Profile_Extended,Winner_2021_Party,SC_ST_Pop_Pct,Margin_2021_Category,Incumbent_Recontesting,SC_Voter_Boost,Constituency_Registered_Voters
137,Kulithalai,-,223184,2.24%,Karur,Perambalur,,,Karur,Karur,Mixed,941765,3.1,73.28,81.84,8.560000000000002,4,"Assembly Constituency: Kulithalai (Karur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",223184,182653,98461,94222,40849,70907,0.189,0.357,0.199,0.183,0.071,10.4,21.5,6.3,61.8,78.9,48.3,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Kulithalai (Karur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 18% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,18.5,COMFORTABLE,LIKELY_YES,0.62,223184
138,Manapaarai,-,267999,8.18%,Tiruchirappalli,Karur,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Manapaarai (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",267999,228576,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Manapaarai (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,267999
139,Srirangam,-,287027,8.94%,Tiruchirappalli,Tiruchirappalli,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Srirangam (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",287027,244805,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Srirangam (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: YES.",DMK,16.2,COMFORTABLE,YES,0.05,287027
140,Tiruchirappalli (West),-,238920,12.37%,Tiruchirappalli,Tiruchirappalli,2011.0,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Tiruchirappalli (West) (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",238920,203774,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Tiruchirappalli (West) (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,238920
141,Tiruchirappalli (East),-,220191,14.76%,Tiruchirappalli,Tiruchirappalli,2011.0,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Tiruchirappalli (East) (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",220191,187800,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Tiruchirappalli (East) (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,220191
142,Thiruverumbur,-,259546,12.55%,Tiruchirappalli,Tiruchirappalli,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Thiruverumbur (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",259546,221366,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Thiruverumbur (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,259546
143,Lalgudi,-,212177,3.25%,Tiruchirappalli,Perambalur,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Lalgudi (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",212177,180965,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Lalgudi (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,212177
144,Manachanallur,-,236500,4.09%,Tiruchirappalli,Perambalur,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Manachanallur (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",236500,201710,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Manachanallur (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,236500
145,Musiri,-,214006,8.67%,Tiruchirappalli,Perambalur,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Musiri (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",214006,182525,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Musiri (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,214006
146,Thuraiyur,SC,210685,7.58%,Tiruchirappalli,Perambalur,,,Tiruchirappalli,Tiruchirappalli,Mixed,2329629,2.62,74.38,85.29,10.91000000000001,9,"Assembly Constituency: Thuraiyur (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",210685,179693,112813,107956,46803,81243,0.189,0.356,0.203,0.182,0.071,9.2,23.4,3.8,63.6,79.1,57.4,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Thuraiyur (Tiruchirappalli). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.2,COMFORTABLE,LIKELY_YES,0.05,210685
147,Perambalur,SC,290666,4.71%,Perambalur,Perambalur,,,Perambalur,Perambalur,Mixed,545232,3.14,73.26,84.2,10.939999999999998,2,"Assembly Constituency: Perambalur (Perambalur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",290666,244740,117295,112246,48662,84471,0.172,0.204,0.33,0.228,0.065,21.3,36.8,2.5,39.4,70.2,21.3,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Perambalur (Perambalur). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,22.1,COMFORTABLE,LIKELY_YES,1.53,290666
148,Kunnam,-,268095,2.48%,Perambalur,Chidambaram,,,Perambalur,Perambalur,Mixed,545232,3.14,73.26,84.2,10.939999999999998,2,"Assembly Constituency: Kunnam (Perambalur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",268095,225735,117295,112246,48662,84471,0.172,0.204,0.33,0.228,0.065,21.3,36.8,2.5,39.4,70.2,21.3,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Kunnam (Perambalur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,22.1,COMFORTABLE,LIKELY_YES,1.53,268095
149,Ariyalur,-,262942,1.44%,Ariyalur,Chidambaram,,,Ariyalur,Ariyalur,Mixed,644365,2.54,77.17,88.13,10.959999999999994,2,"Assembly Constituency: Ariyalur (Ariyalur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",262942,231730,145092,138845,60194,104489,0.172,0.21,0.324,0.228,0.065,18.6,38.4,2.4,40.6,69.8,19.7,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Ariyalur (Ariyalur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 21% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.4,COMFORTABLE,LIKELY_YES,1.35,262942
150,Jayankondam,-,263450,1.68%,Ariyalur,Chidambaram,,,Ariyalur,Ariyalur,Mixed,644365,2.54,77.17,88.13,10.959999999999994,2,"Assembly Constituency: Jayankondam (Ariyalur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",263450,232178,145092,138845,60194,104489,0.172,0.21,0.324,0.228,0.065,18.6,38.4,2.4,40.6,69.8,19.7,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Jayankondam (Ariyalur). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 21% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.4,COMFORTABLE,LIKELY_YES,1.35,263450
151,Tittakudi,SC,208984,5.75%,Cuddalore,Cuddalore,,,Cuddalore,Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8,"Assembly Constituency: Tittakudi (Cuddalore). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",208984,179182,119441,114298,49552,86016,0.173,0.248,0.283,0.23,0.065,13.6,35.8,3.1,47.5,77.4,38.2,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Tittakudi (Cuddalore). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.5,COMFORTABLE,LIKELY_YES,1.38,208984
152,Virudhachalam,-,240783,5.94%,Cuddalore,Cuddalore,,,Cuddalore,Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8,"Assembly Constituency: Virudhachalam (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",240783,206447,119441,114298,49552,86016,0.173,0.248,0.283,0.23,0.065,13.6,35.8,3.1,47.5,77.4,38.2,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Virudhachalam (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.5,COMFORTABLE,LIKELY_YES,1.38,240783
153,Neyveli,-,191271,13.53%,Cuddalore,Cuddalore,,,Cuddalore,Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8,"Assembly Constituency: Neyveli (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",191271,163995,119441,114298,49552,86016,0.173,0.248,0.283,0.23,0.065,13.6,35.8,3.1,47.5,77.4,38.2,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Neyveli (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.5,COMFORTABLE,LIKELY_YES,1.38,191271
154,Panruti,-,241767,2.20%,Cuddalore,Cuddalore,,,Cuddalore,Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8,"Assembly Constituency: Panruti (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",241767,207291,119441,114298,49552,86016,0.173,0.248,0.283,0.23,0.065,13.6,35.8,3.1,47.5,77.4,38.2,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Panruti (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.5,COMFORTABLE,LIKELY_YES,1.38,241767
155,Cuddalore,-,223149,7.22%,Cuddalore,Cuddalore,,,Cuddalore,Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8,"Assembly Constituency: Cuddalore (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",223149,191327,119441,114298,49552,86016,0.173,0.248,0.283,0.23,0.065,13.6,35.8,3.1,47.5,77.4,38.2,SAFE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Cuddalore (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: SAFE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: LANDSLIDE. 2021 MLA re-contesting: YES.",DMK,21.5,LANDSLIDE,YES,1.38,223149
156,Kurinjipadi,-,238189,2.82%,Cuddalore,Cuddalore,,,Cuddalore,Cuddalore,Mixed,2180929,3.07,74.68,85.74,11.059999999999988,8,"Assembly Constituency: Kurinjipadi (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",238189,204223,119441,114298,49552,86016,0.173,0.248,0.283,0.23,0.065,13.6,35.8,3.1,47.5,77.4,38.2,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Kurinjipadi (Cuddalore). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,21.5,COMFORTABLE,LIKELY_YES,1.38,238189
